Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gorgeous-metallic-champagne-flutes,Gorgeous Metallic Champagne Flutes,"<ul>
<li>Perfect for all occasions - parties, corporate events &amp; gatherings!</li>
<li>
<span>Made of stainless steel - s</span><span>hatterproof and helps keep your drink chilled</span>
</li>
<li>Dimensions: 8.75 inches/ 22.2 cm in height</li>
</ul>
<ul></ul>",jazzupco,"","",true,Color,Rose Gold,,,,,32164486-rose-gold,0.0,shopify,deny,oberlo,29.00,,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/1MetallicChampagneFlutes.png?v=1613481012,1,Gorgeous Metallic Champagne Flutes-JAZZUP,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/8RoseGold.png?v=1613481017,kg,,,active
gorgeous-metallic-champagne-flutes,,,,,,,,Gold,,,,,32164486-gold,0.0,shopify,deny,oberlo,29.00,,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/2RoseGold_Gold.png?v=1613481013,2,Gorgeous Metallic Champagne Flutes-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/7Gold.png?v=1613481016,kg,,,
gorgeous-metallic-champagne-flutes,,,,,,,,Silver,,,,,32164486-silver,0.0,shopify,deny,oberlo,29.00,,true,false,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/3RoseGold_Gold.png?v=1613481014,3,Gorgeous Metallic Champagne Flutes-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/9Silver.png?v=1613481018,kg,,,
gorgeous-metallic-champagne-flutes,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/5Base.png?v=1613481014,4,Gorgeous Metallic Champagne Flutes-JAZZUP,,,,,,,,,,,,,,,,,,,,,
gorgeous-metallic-champagne-flutes,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/6Base.png?v=1613481015,5,Gorgeous Metallic Champagne Flutes-JAZZUP,,,,,,,,,,,,,,,,,,,,,
gorgeous-metallic-champagne-flutes,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/7Gold.png?v=1613481016,6,Gorgeous Metallic Champagne Flutes-JAZZUP,,,,,,,,,,,,,,,,,,,,,
gorgeous-metallic-champagne-flutes,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/8RoseGold.png?v=1613481017,7,Gorgeous Metallic Champagne Flutes-JAZZUP,,,,,,,,,,,,,,,,,,,,,
gorgeous-metallic-champagne-flutes,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/9Silver.png?v=1613481018,8,Gorgeous Metallic Champagne Flutes-JAZZUP,,,,,,,,,,,,,,,,,,,,,
french-flatware,French Flatware,"<!--Start tab labels-->
<ul class=""tabs"">
<li><a href=""#tab1"" class=""active""> Description </a></li>
<li><a class="""" href=""#tab2""> Details </a></li>
<li><a class="""" href=""#tab3""> Shipping </a></li>
<li><a class="""" href=""#tab4""> FAQs </a></li>
<li><a class="""" href=""#tab5""> Care Guide </a></li>
</ul>
<!--Start tab content-->
<ul class=""tabs-content"">
<li style=""display: block;"" id=""tab1"" class=""active"">
<div>
<p>Get our <i>French Flatware</i> and dine in style. Be sure to leave an exceptional impression with your guests when you host parties!</p>
<p>You can pair up this flatware set with our exclusive <a href=""https://jazzupco.com/collections/dinnerware"">dinnerware collection</a> to have a wondrous dining experience.</p>
</div>
</li>
<li style=""display: none;"" class="""" id=""tab2"">
<div>
<p>Material: 18/10 stainless steel with titanium-plated finish and resin painted handles</p>
<p><span style=""font-style: normal;"">7 Color options available</span><br></p>
<table width=""100%"">
<tbody>
<tr style=""height: 36px;"" data-mce-style=""height: 36px;"">
<td style=""width: 31.2481%; height: 36px;"" data-mce-style=""width: 31.2481%; height: 36px;"">
<p><span>4 Pieces Set</span></p>
</td>
<td style=""width: 63.7519%; height: 36px;"" data-mce-style=""width: 63.7519%; height: 36px;""><span>1 x Dinner Spoon, 1 x Dinner Fork, 1 x Dinner Knife, and 1 x Teaspoon</span></td>
</tr>
<tr style=""height: 36px;"" data-mce-style=""height: 36px;"">
<td style=""width: 31.2481%; height: 36px;"" data-mce-style=""width: 31.2481%; height: 36px;"">
<p><span>8 Pieces Set</span></p>
</td>
<td style=""width: 63.7519%; height: 36px;"" data-mce-style=""width: 63.7519%; height: 36px;""><span>2 x Dinner Spoon, 2 x Dinner Fork, 2 x Dinner Knife, and 2 x Teaspoon</span></td>
</tr>
<tr style=""height: 36px;"" data-mce-style=""height: 36px;"">
<td style=""width: 31.2481%; height: 36px;"" data-mce-style=""width: 31.2481%; height: 36px;"">
<p><span>16 Pieces Set</span></p>
</td>
<td style=""width: 63.7519%; height: 36px;"" data-mce-style=""width: 63.7519%; height: 36px;""><span>4 x Dinner Spoon, 4 x Dinner Fork, 4 x Dinner Knife, and 4 x Teaspoon</span></td>
</tr>
<tr style=""height: 36px;"" data-mce-style=""height: 36px;"">
<td style=""width: 31.2481%; height: 36px;"" data-mce-style=""width: 31.2481%; height: 36px;"">
<p><span>24 Pieces Set</span></p>
</td>
<td style=""width: 63.7519%; height: 36px;"" data-mce-style=""width: 63.7519%; height: 36px;""><span>6 x Dinner Spoon, 6 x Dinner Fork, 6 x Dinner Knife, and 6 x Teaspoon</span></td>
</tr>
<tr style=""height: 33px;"" data-mce-style=""height: 33px;"">
<td style=""width: 31.2481%; height: 33px;"" data-mce-style=""width: 31.2481%; height: 33px;"">
<p><span>20 Pieces Set (New)</span></p>
</td>
<td style=""width: 63.7519%; height: 33px;"" data-mce-style=""width: 63.7519%; height: 33px;""><span>4 x Dinner Spoon, 4 x Dinner Fork, 4 x Dinner Knife, 4 x Salad Fork, and 4 x Soup Spoon</span></td>
</tr>
<tr style=""height: 33px;"" data-mce-style=""height: 33px;"">
<td style=""width: 31.2481%; height: 33px;"" data-mce-style=""width: 31.2481%; height: 33px;"">30 Pieces Set (New)</td>
<td style=""width: 63.7519%; height: 33px;"" data-mce-style=""width: 63.7519%; height: 33px;""><span>6 x Dinner Spoon, 6 x Dinner Fork, 6 x Dinner Knife, 6 x Salad Fork, and 6 x Soup Spoon</span></td>
</tr>
</tbody>
</table>
<p>Dinner Spoon – 8.5 inches/ 21.5 cm, 2.6 oz/ 74 g</p>
<p>Dinner Fork – 8.7 inches/ 22.0 cm, 2.2 oz/ 62 g</p>
<p>Dinner Knife – 8.7 inches/ 22.0 cm, 2.1 oz/ 60 g</p>
<p>Teaspoon – 4.9 inches/ 12.5 cm, 0.8 oz/ 24 g</p>
<p>Soup Spoon – 7.4 inches/ 18.8 cm, 1.4 oz/ 40 g</p>
<p>Salad Fork – 7.2 inches/ 18.4 cm, 1.4 oz/ 40 g</p>
</div>
</li>
<li style=""display: none;"" class="""" id=""tab3"">
<div>
<p>Free Shipping - with an estimated shipping duration of 8-16 days within the USA and 12-18 days worldwide<br></p>
</div>
</li>
<li style=""display: none;"" class="""" id=""tab4"">
<div>
<p><b>Is the flatware dishwasher safe and is it durable?</b></p>
<p>While we have customers who wash this flatware in dishwashers with no issues, we cannot guarantee that the dishwasher would not affect the exterior finishes as there are various factors involved (eg. type of dishwasher, dishwasher detergent, etc.). As such, it is recommended to only handwash the flatware so as to preserve the exterior as well as possible.</p>
<p>However, if you decide to use the dishwasher, you may try dishwashing programs with a low temperature of 104°F / 40°C or less as higher temperatures may affect the exterior quality of the flatware. Check if your dishwasher features an eco-friendly program that operates on a low temperature of 104°F / 40°C or less. You may also consider testing 1 or 2 flatware pieces in the dishwasher over a prolonged duration first (say 1 to 2 months), before putting the remaining pieces in the dishwasher.</p>
<p>Your flatware is durable and suitable for day-to-day use as it’s made of high-quality 18/10 stainless steel, which provides the greatest resistance to corrosion and rust.</p>
<p><b>What is the colored coating made of?</b></p>
<p>The flatware is titanium-plated (non-toxic and safe coating) that provides additional resistance to corrosion and rust.</p>
<p>The handles are coated with durable and non-toxic paint material. Do note that due care is required as knocking/ scratching against hard/ sharp surfaces may cause the paint to chip.</p>
<p><b>Will the coating layer peel off and wear out after washing?</b></p>
<p>No, the coating layer will not peel off and will not wear out after washing.</p>
<p><b>Does the flatware have a good weight to it?</b></p>
<p>Yes, our flatware is heavier than regular ones due to the thicker handles and quality materials used.</p>
<p>Dinner Spoon – 2.6 oz/ 74 g</p>
<p>Dinner Fork – 2.2 oz/ 62 g</p>
<p>Dinner Knife – 2 oz/ 57 g</p>
<p>Teaspoon – 0.8 oz/ 24 g</p>
</div>
</li>
<li style=""display: none;"" class="""" id=""tab5"">
<div>
<p>Please rinse with warm water and mild dishwashing liquid prior to your first-time use.</p>
<p>After each use, promptly wash off (using a soft sponge and do not use hot water) residues and food stains as soon as you can.</p>
<p>While we have customers who wash this flatware in dishwashers with no issues, we cannot guarantee that the dishwasher would not affect the exterior finishes as there are various factors involved (eg. type of dishwasher, dishwasher detergent, etc.). As such, it is recommended to only handwash the flatware so as to preserve the exterior as well as possible.</p>
<p>However, if you decide to use the dishwasher, you may try dishwashing programs with a low temperature of 104°F / 40°C or less as higher temperatures may affect the exterior quality of the flatware. Check if your dishwasher features an eco-friendly program that operates on a low temperature of 104°F / 40°C or less. You may also consider testing 1 or 2 flatware pieces in the dishwasher over a prolonged duration first (say 1 to 2 months), before putting the remaining pieces in the dishwasher.</p>
<p>When washing, use mild dishwashing liquid only and avoid citrus-scented, chlorine-based and anti-limescale detergents. Do not use abrasive sponges or scrubs.</p>
<p>After each wash, dry with a soft towel to prevent water marks, discoloration and film buildup.</p>
<p>When storing your flatware pieces, place them in a dry and well-ventilated place and keep spoons and forks separately from the knives to avoid scratches on the surface.</p>
<p>Enjoy your flatware!</p>
</div>
</li>
</ul>",jazzupco,"","",true,Color,Black & Gold,Option,20 Pcs (Serves 4 Persons) - Save $110 USD,,,French-20Pcs-BlackGold,0.0,shopify,deny,oberlo,109.00,219.00,true,false,"",https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-4.jpg?v=1617304400,1,French Flatware-JAZZUP,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-7.jpg?v=1617368965,kg,,,active
french-flatware,,,,,,,,Black & Gold,,30 Pcs (Serves 6 Persons) - Save $160 USD,,,French-30Pcs-BlackGold,0.0,shopify,deny,oberlo,159.00,319.00,true,false,"",https://cdn.shopify.com/s/files/1/0365/1705/2461/products/Jazzupco-6.jpg?v=1617304400,2,French Flatware-JAZZUP,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0365/1705/2461/products/JazzupcoRedRev1-7.jpg?v=1617368965,kg,,,
